FATAL   2020-05-28 17:00:05,289 [http-nio-8084-exec-2] linhnd.controllers.MainController  - Test Log file
FATAL   2020-05-28 17:08:49,689 [http-nio-8084-exec-8] linhnd.controllers.MainController  - Test Log file
FATAL   2020-05-28 17:09:03,293 [http-nio-8084-exec-10] linhnd.controllers.MainController  - Test Log file
FATAL   2020-05-28 17:09:16,931 [http-nio-8084-exec-3] linhnd.controllers.MainController  - Test Log file
FATAL   2020-05-28 17:09:20,927 [http-nio-8084-exec-2] linhnd.controllers.MainController  - Test Log file
FATAL   2020-05-28 17:56:51,173 [http-nio-8084-exec-29] linhnd.controllers.LoadPageSearchController  - 
FATAL   2020-05-29 16:29:23,241 [http-nio-8084-exec-25] linhnd.controller.admin.SearchQuestionController  - 
FATAL   2020-05-29 16:31:47,215 [http-nio-8084-exec-27] linhnd.controller.admin.SearchQuestionController  - java.lang.NullPointerException
FATAL   2020-05-29 16:38:11,912 [http-nio-8084-exec-44] linhnd.controller.admin.SearchQuestionController  - java.lang.NullPointerException
FATAL   2020-05-29 17:02:33,418 [http-nio-8084-exec-81] linhnd.controller.student.MakeTestController  - java.lang.NumberFormatException: For input string: "PRJ321"
FATAL   2020-05-29 17:04:12,337 [http-nio-8084-exec-87] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 17:08:02,837 [http-nio-8084-exec-98] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 17:13:57,028 [http-nio-8084-exec-101] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 17:15:31,678 [http-nio-8084-exec-107] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 17:17:47,703 [http-nio-8084-exec-125] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 17:26:22,824 [http-nio-8084-exec-127] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 17:27:26,877 [http-nio-8084-exec-138] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 17:47:30,602 [http-nio-8084-exec-8] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 22:24:58,251 [http-nio-8084-exec-7] linhnd.controller.student.MakeTestController  - java.lang.ClassCastException: java.lang.Integer cannot be cast to linhnd.dtos.Question
FATAL   2020-05-29 22:31:46,923 [http-nio-8084-exec-21] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 22:34:05,945 [http-nio-8084-exec-24] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 22:34:59,994 [http-nio-8084-exec-27] linhnd.controller.student.MakeTestController  - java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to linhnd.dtos.Question
FATAL   2020-05-29 22:42:21,466 [http-nio-8084-exec-48] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 22:43:20,630 [http-nio-8084-exec-54] linhnd.controller.student.MakeTestController  - java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to linhnd.dtos.Question
FATAL   2020-05-29 22:45:15,260 [http-nio-8084-exec-59] linhnd.controller.student.MakeTestController  - java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to linhnd.dtos.Question
FATAL   2020-05-29 22:58:06,927 [http-nio-8084-exec-78] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 22:59:05,908 [http-nio-8084-exec-80] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 23:00:28,641 [http-nio-8084-exec-84] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-29 23:02:41,737 [http-nio-8084-exec-102] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-30 17:55:09,682 [http-nio-8084-exec-11] linhnd.controller.student.MakeTestController  - java.lang.IllegalStateException: setAttribute: Session [5A66DF3DF917FD38140CFC03D8FDA011] has already been invalidated
FATAL   2020-05-31 11:31:07,302 [http-nio-8084-exec-152] linhnd.controller.student.MakeTestController  - java.lang.NullPointerException
FATAL   2020-05-31 12:19:57,238 [http-nio-8084-exec-165] linhnd.controller.student.FinishTestController  - java.lang.IllegalStateException: 
Exception Description: No transaction is currently active
FATAL   2020-05-31 12:29:53,470 [http-nio-8084-exec-185] linhnd.controller.student.FinishTestController  - java.lang.IllegalStateException: 
Exception Description: No transaction is currently active
FATAL   2020-05-31 21:11:04,203 [http-nio-8084-exec-20] linhnd.controllers.MainController  - 
FATAL   2020-05-31 21:11:26,311 [http-nio-8084-exec-19] linhnd.controllers.MainController  - 
FATAL   2020-05-31 21:11:47,881 [http-nio-8084-exec-11] linhnd.controller.student.LoadPageDetailTestController  - java.lang.NullPointerException
FATAL   2020-05-31 21:12:08,787 [http-nio-8084-exec-20] linhnd.controller.student.LoadPageDetailTestController  - java.lang.NullPointerException
FATAL   2020-05-31 21:15:45,216 [http-nio-8084-exec-25] linhnd.controller.student.LoadPageDetailTestController  - java.lang.NullPointerException
FATAL   2020-05-31 21:18:17,042 [http-nio-8084-exec-28] linhnd.controller.student.LoadPageDetailTestController  - java.lang.NullPointerException
FATAL   2020-05-31 21:19:39,417 [http-nio-8084-exec-32] linhnd.controller.student.LoadPageDetailTestController  - java.lang.NullPointerException
FATAL   2020-05-31 21:21:15,616 [http-nio-8084-exec-47] linhnd.controller.student.LoadPageDetailTestController  - java.lang.NullPointerException
FATAL   2020-05-31 22:32:03,358 [http-nio-8084-exec-119] linhnd.controllers.MainController  - 
FATAL   2020-05-31 22:34:28,327 [http-nio-8084-exec-130] linhnd.controllers.MainController  - 
FATAL   2020-05-31 22:37:12,388 [http-nio-8084-exec-136] linhnd.controller.admin.AdminController  - java.lang.NumberFormatException: null
FATAL   2020-05-31 22:37:23,534 [http-nio-8084-exec-138] linhnd.controller.admin.UpdateQuestionController  - java.lang.NumberFormatException: null
FATAL   2020-05-31 22:37:33,196 [http-nio-8084-exec-134] linhnd.controller.admin.InsertQuestionController  - java.lang.NullPointerException
FATAL   2020-05-31 22:38:53,710 [http-nio-8084-exec-130] linhnd.controller.admin.SearchQuestionController  - java.lang.NullPointerException
FATAL   2020-06-01 14:47:24,497 [http-nio-8084-exec-11] linhnd.controllers.RegistrationController  - 
Exception Description: No transaction is currently active
FATAL   2020-06-01 14:48:26,182 [http-nio-8084-exec-17] linhnd.controllers.RegistrationController  - 
Exception Description: No transaction is currently active
FATAL   2020-06-01 14:52:48,648 [http-nio-8084-exec-19] linhnd.controllers.RegistrationController  - 
Exception Description: No transaction is currently active
FATAL   2020-06-01 15:38:33,401 [http-nio-8084-exec-168] linhnd.controller.student.FinishTestController  - java.lang.NullPointerException
FATAL   2020-06-01 15:40:41,820 [http-nio-8084-exec-171] linhnd.controller.student.StudentSearchController  - java.lang.NullPointerException
FATAL   2020-06-01 16:22:40,178 [http-nio-8084-exec-207] linhnd.filters.MainFilter  - java.lang.NullPointerException
FATAL   2020-06-01 16:22:45,457 [http-nio-8084-exec-200] linhnd.filters.MainFilter  - java.lang.NullPointerException
FATAL   2020-06-01 16:25:10,369 [http-nio-8084-exec-204] linhnd.filters.MainFilter  - java.lang.NullPointerException
FATAL   2020-06-01 16:26:31,973 [http-nio-8084-exec-200] linhnd.filters.MainFilter  - java.lang.NullPointerException
FATAL   2020-06-01 16:28:04,627 [http-nio-8084-exec-199] linhnd.filters.MainFilter  - java.lang.NullPointerException
FATAL   2020-06-01 16:31:57,482 [http-nio-8084-exec-220] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,486 [http-nio-8084-exec-221] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,573 [http-nio-8084-exec-211] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,576 [http-nio-8084-exec-218] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,579 [http-nio-8084-exec-216] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,635 [http-nio-8084-exec-222] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,638 [http-nio-8084-exec-223] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,640 [http-nio-8084-exec-210] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,696 [http-nio-8084-exec-214] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,699 [http-nio-8084-exec-219] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,755 [http-nio-8084-exec-220] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,758 [http-nio-8084-exec-221] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,761 [http-nio-8084-exec-224] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,813 [http-nio-8084-exec-218] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,816 [http-nio-8084-exec-216] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,818 [http-nio-8084-exec-222] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,872 [http-nio-8084-exec-223] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,875 [http-nio-8084-exec-210] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,880 [http-nio-8084-exec-214] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,971 [http-nio-8084-exec-219] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:57,974 [http-nio-8084-exec-220] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,005 [http-nio-8084-exec-221] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,008 [http-nio-8084-exec-224] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,010 [http-nio-8084-exec-218] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,064 [http-nio-8084-exec-216] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,066 [http-nio-8084-exec-222] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,120 [http-nio-8084-exec-223] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,122 [http-nio-8084-exec-210] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,124 [http-nio-8084-exec-214] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,179 [http-nio-8084-exec-219] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
FATAL   2020-06-01 16:31:58,181 [http-nio-8084-exec-220] linhnd.filters.MainFilter  - java.lang.IllegalStateException: Cannot forward after response has been committed
